ID,Label
http://www.wikidata.org/prop/direct/P3428,INCAA film rating
http://www.wikidata.org/prop/direct/P1037,director / manager
http://www.wikidata.org/prop/direct/P485,archives at
http://www.wikidata.org/prop/direct/P710,participant
http://www.wikidata.org/prop/direct/P140,religion
http://www.wikidata.org/prop/direct/P159,headquarters location
http://www.wikidata.org/prop/direct/P6379,has works in the collection
http://www.wikidata.org/prop/direct/P7573,IFCO rating
http://www.wikidata.org/prop/direct/P21,sex or gender
http://www.wikidata.org/prop/direct/P1050,medical condition
http://www.wikidata.org/prop/direct/P1657,MPAA film rating
http://www.wikidata.org/prop/direct/P138,named after
http://www.wikidata.org/prop/direct/P931,place served by transport hub
http://www.wikidata.org/prop/direct/P119,place of burial
http://www.wikidata.org/prop/direct/P735,given name
http://www.wikidata.org/prop/direct/P1269,facet of
http://www.wikidata.org/prop/direct/P1809,choreographer
http://www.wikidata.org/prop/direct/P607,conflict
http://www.wikidata.org/prop/direct/P2629,BBFC rating
http://www.wikidata.org/prop/direct/P2637,RARS rating
http://www.wikidata.org/prop/direct/P1344,participant in
http://www.wikidata.org/prop/direct/P7937,form of creative work
http://www.wikidata.org/prop/direct/P2936,language used
http://www.wikidata.org/prop/direct/P2416,sports discipline competed in
http://www.wikidata.org/prop/direct/P7959,historic county
http://www.wikidata.org/prop/direct/P9215,set during recurring event
http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
http://www.wikidata.org/prop/direct/P825,dedicated to
http://www.wikidata.org/prop/direct/P1434,takes place in fictional universe
http://www.wikidata.org/prop/direct/P2408,set in period
http://www.wikidata.org/prop/direct/P6658,RCQ classification
http://www.wikidata.org/prop/direct/P2341,indigenous to
http://www.wikidata.org/prop/direct/P3156,Australian Classification
http://www.wikidata.org/prop/direct/P3818,KMRB film rating
http://www.wikidata.org/prop/direct/P1552,has quality
http://www.wikidata.org/prop/direct/P127,owned by
http://www.wikidata.org/prop/direct/P1056,product or material produced
http://www.wikidata.org/prop/direct/P195,collection
http://www.wikidata.org/prop/direct/P91,sexual orientation
http://www.wikidata.org/prop/direct/P941,inspired by
http://www.wikidata.org/prop/direct/P2438,narrator
http://www.wikidata.org/prop/direct/P6166,quotes work
http://www.wikidata.org/prop/direct/P945,allegiance
http://www.wikidata.org/prop/direct/P3803,original film format
http://www.wikidata.org/prop/direct/P2283,uses
http://www.wikidata.org/prop/direct/P35,head of state
http://www.wikidata.org/prop/direct/P1196,manner of death
http://www.wikidata.org/prop/direct/P706,located on terrain feature
http://www.wikidata.org/prop/direct/P793,significant event
http://www.wikidata.org/prop/direct/P6275,copyright representative
http://www.wikidata.org/prop/direct/P8670,character designer
http://www.wikidata.org/prop/direct/P3300,musical conductor
http://www.wikidata.org/prop/direct/P3342,significant person
http://www.wikidata.org/prop/direct/P206,located in or next to body of water
http://www.wikidata.org/prop/direct/P291,place of publication
http://www.wikidata.org/prop/direct/P3931,copyright holder
http://www.wikidata.org/prop/direct/P1365,replaces
http://www.wikidata.org/prop/direct/P802,student
http://www.wikidata.org/prop/direct/P5150,IGAC rating
http://www.wikidata.org/prop/direct/P241,military branch
http://www.wikidata.org/prop/direct/P461,opposite of
http://www.wikidata.org/prop/direct/P452,industry
http://www.wikidata.org/prop/direct/P205,basin country
http://www.wikidata.org/prop/direct/P6962,narrative motif
http://www.wikidata.org/prop/direct/P2546,sidekick of
http://www.wikidata.org/prop/direct/P101,field of work
http://www.wikidata.org/prop/direct/P2563,superhuman feature or ability
http://www.wikidata.org/prop/direct/P8371,"references work, tradition or theory"
http://www.wikidata.org/prop/direct/P749,parent organization
http://www.wikidata.org/prop/direct/P371,presenter
http://www.wikidata.org/prop/direct/P8889,MTRCB rating
http://www.wikidata.org/prop/direct/P425,field of this occupation
http://www.wikidata.org/prop/direct/P1416,affiliation
http://www.wikidata.org/prop/direct/P5389,permanent resident of
http://www.wikidata.org/prop/direct/P5152,KAVI rating
http://www.wikidata.org/prop/direct/P66,ancestral home
http://www.wikidata.org/prop/direct/P135,movement
http://www.wikidata.org/prop/direct/P1027,conferred by
http://www.wikidata.org/prop/direct/P36,capital
http://www.wikidata.org/prop/direct/P366,use
