ID,Label
http://www.wikidata.org/entity/Q1140171,"They Shoot Horses, Don't They?"
http://www.wikidata.org/entity/Q1140257,The Messenger: The Story of Joan of Arc
http://www.wikidata.org/entity/Q1140309,The Path to 9/11
http://www.wikidata.org/entity/Q1140738,The Crocodile Hunter: Collision Course
http://www.wikidata.org/entity/Q114076,A Knight's Tale
http://www.wikidata.org/entity/Q1142799,Rabbit-Proof Fence
http://www.wikidata.org/entity/Q1143085,"Pane, amore e..."
http://www.wikidata.org/entity/Q1143573,Hitman Hart: Wrestling with Shadows
http://www.wikidata.org/entity/Q1144154,Tell-Tale
http://www.wikidata.org/entity/Q1145807,The Abominable Dr. Phibes
http://www.wikidata.org/entity/Q1145824,A Nightmare on Elm Street 2: Freddy's Revenge
http://www.wikidata.org/entity/Q1146563,Cutter's Way
http://www.wikidata.org/entity/Q1146711,The Legend of 1900
http://www.wikidata.org/entity/Q1147262,Cyborg 2
http://www.wikidata.org/entity/Q1148304,4 Little Girls
http://www.wikidata.org/entity/Q1148704,The Naked Brothers Band: The Movie
http://www.wikidata.org/entity/Q1149916,The Widow of Saint-Pierre
http://www.wikidata.org/entity/Q11504814,"Puerta de Hierro, el exilio de Perón"
http://www.wikidata.org/entity/Q1154108,4:44 Last Day on Earth
http://www.wikidata.org/entity/Q115597,World's Greatest Dad
http://www.wikidata.org/entity/Q1156977,Daddy's Little Girls
http://www.wikidata.org/entity/Q1157149,Daft Punk's Electroma
http://www.wikidata.org/entity/Q1159835,Daniel – Der Zauberer
http://www.wikidata.org/entity/Q1164919,Case 39
http://www.wikidata.org/entity/Q1165415,16 Years of Alcohol
http://www.wikidata.org/entity/Q1167668,Margaret's Museum
http://www.wikidata.org/entity/Q1167859,Frenchman's Creek
http://www.wikidata.org/entity/Q1167889,Le Radeau de la Méduse
http://www.wikidata.org/entity/Q1168288,L'argent des autres
http://www.wikidata.org/entity/Q1168292,Other People's Money
http://www.wikidata.org/entity/Q1168803,Troma's War
http://www.wikidata.org/entity/Q1169028,Beneath the 12-Mile Reef
http://www.wikidata.org/entity/Q1169397,She-Wolf of London
http://www.wikidata.org/entity/Q1169497,Mr. Skeffington
http://www.wikidata.org/entity/Q1169589,Things to Do in Denver When You're Dead
http://www.wikidata.org/entity/Q1169762,River's Edge
http://www.wikidata.org/entity/Q1170445,Spider's Web
http://www.wikidata.org/entity/Q1170853,The Baby of Mâcon
http://www.wikidata.org/entity/Q11711634,How Much Does the Trojan Horse Weigh?
http://www.wikidata.org/entity/Q1171276,The Brink's Job
http://www.wikidata.org/entity/Q1171550,Black-White-Red Four Poster
http://www.wikidata.org/entity/Q11719972,Janosik: A True Story
http://www.wikidata.org/entity/Q1176191,Max et Jérémie
http://www.wikidata.org/entity/Q11773879,Czech-Made Man
http://www.wikidata.org/entity/Q11787810,My Father's Bike
http://www.wikidata.org/entity/Q118114,Lion's Den
http://www.wikidata.org/entity/Q1183268,"Yours, Mine and Ours"
http://www.wikidata.org/entity/Q11849616,8-Ball
http://www.wikidata.org/entity/Q1185312,Dementia 13
http://www.wikidata.org/entity/Q1185615,Inazuma Eleven: Saikyō Gundan Ōga Shūrai
http://www.wikidata.org/entity/Q1185829,Mr. Vampire
http://www.wikidata.org/entity/Q1185956,Man's Favorite Sport?
http://www.wikidata.org/entity/Q11862100,Helmiä ja sikoja
http://www.wikidata.org/entity/Q1188348,Fermat's Room
http://www.wikidata.org/entity/Q1189690,De l'autre côté du lit
http://www.wikidata.org/entity/Q1190492,P2
http://www.wikidata.org/entity/Q1192024,Gone Fishin'
http://www.wikidata.org/entity/Q1192353,One 2 Ka 4
http://www.wikidata.org/entity/Q1193261,5 Fingers
http://www.wikidata.org/entity/Q1193389,The Fireman's Ball
http://www.wikidata.org/entity/Q1193429,Büyü
http://www.wikidata.org/entity/Q1193433,Ip Man 2
http://www.wikidata.org/entity/Q1194211,"Objective, Burma!"
http://www.wikidata.org/entity/Q1194888,Twelve O'Clock High
http://www.wikidata.org/entity/Q1195550,The Butcher's Wife
http://www.wikidata.org/entity/Q1197275,Après Lui
http://www.wikidata.org/entity/Q1197442,The Death of Mr. Lazarescu
http://www.wikidata.org/entity/Q1197508,What Have They Done to Your Daughters?
http://www.wikidata.org/entity/Q11976727,"Through a Glass, Darkly"
http://www.wikidata.org/entity/Q1197861,What's in a Name?
http://www.wikidata.org/entity/Q1198420,The Boondock Saints II: All Saints Day
http://www.wikidata.org/entity/Q1198726,The Knack ...and How to Get It
